"472-611","1719","X551000-0","Ba","","Syganga","","","","5","-5","","","0","","1","-5","","-5","0","","","Ba","0","","","","5","X","","","0",""
"715-785","1720","X410000-0","DeBa","","Syganga","","","","1","-6","","","0","De","0","-6","","-5","0","","","Ba","0","","","","4","X","","","0",""
"316-958","1818","X85A000-0","WaBa","","Syganga","","","","5","-5","","","0","Wa","A","-5","","-5","0","","","Ba","0","","","","8","X","","","0",""
"296-011","2012","X300000-0","VaBa","","Syganga","","","","0","-5","","","0","","0","-5","","-5","0","","","Ba","0","","","","3","X","","","0","Va"
"791-063","2018","X414000-0","ICBa","","Syganga","","","","1","-4","","","0","IC","4","-6","","-5","0","","","Ba","0","","","","4","X","","","0",""
"889-929","2020","X3A1000-0","FlBa","","Syganga","","AmberZone","","A","-5","","","0","Fl","1","-5","","-10","0","","","Ba","0","","","","3","X","","","0",""
"601-146","2118","X8B3000-0","FlBa","","Syganga","","AmberZone","","B","-5","","","0","Fl","3","-5","","-10","0","","","Ba","0","","","","8","X","","","0",""
"210-997","2217","X9A7000-0","FlBa","","Syganga","","AmberZone","","A","-5","","","0","Fl","7","-5","","-10","0","","","Ba","0","","","","9","X","","","0",""
"401-525","1024","X838000-0","Ba","","Kamorr","","RedZone","","3","-1","","","0","","8","-9","","","0","","","Ba","0","","","","8","X","","","0",""
"320-539","1223","X312000-0","ICBa","","Kamorr","","","","1","-4","","","0","IC","2","-6","","-5","0","","","Ba","0","","","","3","X","","","0",""
"192-411","1529","XA9A000-0","WaBa","","Kamorr","","","","9","-5","","","0","Wa","A","-5","","-5","0","","","Ba","0","","","","A","X","","","0",""
"171-315","2730","X4A1000-0","FlBa","","Hatoba","","RedZone","","A","-1","","","0","Fl","1","-9","","","0","","","Ba","0","","","","4","X","","","0",""
"Cataf","2929","X4A5000-0","FlBa","","Hatoba","","AmberZone","ReaverEra Colony","A","-3","","","0","Fl","5","-7","","-10","0","","","Ba","0","","","","4","X","","","0",""
"Dofar","0105","C887552-11","GaNI","S","Gedeed","","","AncientImperial Colony 1630000","8","","","","5","Ga","7","","","","2","","","NI","6","","","S","8","C","","","11",""
"Shanab","0107","D636263-11","Lo","","Gedeed","","","","3","","","","6","","6","","","","3","","","Lo","2","","","","6","D","","","11",""
"Gedeed","0209","A562972-11","Hi","NTI","Gedeed","","AmberZone","","6","","","","7","","2","","I","","2","N","","Hi","9","","","","5","A","T","","11",""
"Nyah","1708","X69449B-0","GaNI","","Tendai","","RedZone","AncientImperial Colony 163000","9","","","","9","Ga","4","","","","B","","","NI","5","","","","6","X","","","0",""
"Rutendo","1710","X557203-0","GaLo","","Tendai","","RedZone","AncientImperial Colony 978","5","","","","0","Ga","7","","","","3","","","Lo","2","","","","5","X","","","0",""
"Tichaona","1804","D543477-4","PoNILt","S","Tendai","","","","4","","","","7","","3","","","","7","","","NI","4","","","S","5","D","","Lt","4","Po"
"Juwanama","1806","E41635A-9","ICLo","","Tendai","","","","1","","","","5","IC","6","","","","A","","","Lo","3","","","","4","E","","","9",""
"Ochieng","1807","X3A5101-6","Lo","","Tendai","","AmberZone","","A","","","","0","","5","","","","1","","","Lo","1","","","","3","X","","","6",""
"Nosipho","1901","A40078A-9","VaNa","NTI","Tendai","","","PlagueEra Colony","0","","","Na","8","","0","","I","","A","N","","","7","","","","4","A","T","","9","Va"
"346-895","1909","X201000-0","ICVaBa","","Tendai","","","","0","","","","0","IC","1","","","","0","","","Ba","0","","","","2","X","","","0","Va"
"Asha","2101","C53869A-8","NI","RT","Tendai","","","Modular Space Station","3","","","","9","","8","","","","A","","","NI","6","","R","","5","C","T","","8",""
"Dardana","2303","E415431-5","ICAgNILt","","Tendai","","","","1","","","","3","IC","5","","","","1","","","NI","4","Ag","","","4","E","","Lt","5",""
"Babirye","2306","C413632-7","ICPoNINa","T","Tendai","","","Modular Space Station","1","","","Na","3","IC","3","","","","2","","","NI","6","","","","4","C","T","","7","Po"
"Bora","2404","X310320-5","PoLoLt","","Tendai","","","","1","","","","2","","0","","","","0","","","Lo","3","","","","3","X","","Lt","5","Po"
"673-842","2405","X524000-0","Ba","","Tendai","","RedZone","","2","","","","0","","4","","","","0","","","Ba","0","","","","5","X","","","0",""
